,word,count
0,loan,131858
1,mortgage,128688
2,payment,93305
3,would,72087
4,home,61414
5,payments,55117
6,bank,51520
7,told,51437
8,received,49020
9,account,47981
10,time,46534
11,modification,43658
12,company,38687
13,us,37739
14,sent,37558
15,get,36474
16,pay,35270
17,property,34511
18,letter,34505
19,called,34153
